user,date,hashtags,full_text,favorite_count,topic
TengoStephen,Thu Jun 03 07:41:27 +0000 2021,['GenerationRestoration'],"RT @UNEP: TODAY at 12:00 EAT: Launch of our report with @FAO: “Becoming #GenerationRestoration: Ecosystem Restoration for People, Nature an…",0,climate
RuskingtonRich,Thu Jun 03 07:41:26 +0000 2021,['WorldBicycleDay'],"RT @NorthKestevenDC: Usually drive to work? Why not CYCLE for #WorldBicycleDay instead? 🚴
Cycling is fun, great exercise, and helps combat…",0,tech
evelyn3939,Thu Jun 03 07:41:21 +0000 2021,[],RT @wtmpacific: “The top British envoy in Canberra has confirmed that the UK is encouraging Australia to increase its emission reduction ta…,0,health
FreedomFreedman,Thu Jun 03 07:41:20 +0000 2021,[],RT @conspiracyb0t: A Bill Gates Venture Aims To Spray Dust Into The Atmosphere To Block The Sun. What Could Go Wrong? https://t.co/soIBZeqS…,0,politics
MWildernessInt,Thu Jun 03 07:41:19 +0000 2021,"['climate', 'forests', 'mountainous']","Recent #climate trends enabled fires in an additional 11% of western US #forests. Study on elevational distribution of forest fires in #mountainous ecoregions shows largest increase rates in burned area above 2,500 m during 1984 to 2017
https://t.co/Inm7Bg3Tpz via @PNASNews",1,climate
yerhavinalaugh,Thu Jun 03 07:41:13 +0000 2021,[],RT @mattletiss7: If you think the Covid propaganda has been bad wait til you see the climate change stuff they’ve got planned,0,climate
OceanRubbish,Thu Jun 03 07:41:11 +0000 2021,"['pollution', 'health', 'climate']","RT @DaktarZApp: Be it #pollution, #health, #climate change or clean transportation, we all can agree that cycling is one of the most effici…",0,climate
onedekuhero,Thu Jun 03 07:41:07 +0000 2021,[],"@Holy_Hero_Vine ( Inb4 “My Hero: Climate” focused on the story of Izuku Midoriya having dropped out of heroics and become a politician, wanting to change the world with words, not violence. )",0,climate
SharedValueFou1,Thu Jun 03 07:41:06 +0000 2021,"['SharedValueHub', 'AI', 'ClimateAction']","#SharedValueHub is using the accelerator program to confront climate change – one of humanity’s greatest challenges - we use entrepreneurs to blends the power of exponentially growing technologies such as #AI to create solutions

#ClimateAction
Join us: https://t.co/15vKZGhY3P https://t.co/O1yaxQ3wbU",0,climate
harry_katak,Thu Jun 03 07:41:06 +0000 2021,[],RT @imanridzuan_: Less than 200 malayan tigers left in malaysia. Leatherback turtles already extinct and the other species are endangered.…,0,health
AdamLawSchool,Thu Jun 03 07:41:05 +0000 2021,"['klimaschutzgesetz', 'Shell']","RT @ACIL_UvA: The recent #klimaschutzgesetz &amp; #Shell court decisions poses questions re. the role of courts and climate science, the intern…",0,climate
Belizean_bz,Thu Jun 03 07:41:04 +0000 2021,[],@Kattavernd Liberia: Pres. Weah Commits His Government to Ensuring Climate Sensitive Initiat  https://t.co/UAhsqzaGd6,0,climate
Schoderli,Thu Jun 03 07:40:59 +0000 2021,[],"RT @ft_content: What role can energy efficient technology play in reaching climate goals?

Partner Content by @ABBMotion",0,climate
envirorealism,Thu Jun 03 07:40:59 +0000 2021,[],RT @PaulMeekPerth: Why the fuck is Morrison going to the G7 when Australia has no climate change plan and will likely bluster his way throu…,0,climate
amrakunj,Thu Jun 03 07:40:59 +0000 2021,[],"@AntonSpisak Re thread 10. Surely if test 1,3,4&amp;5 are carried out, test 2 becomes unnecessary. Public support is too divisive and nationalistic in current climate to be relevant.",0,climate
joao_kay,Thu Jun 03 07:40:58 +0000 2021,['C4News'],"RT @PhantomPower14: This is the Tory UK Govt undermining #C4News, who Boris Johnson never forgave for replacing his absence with an ice scu…",0,politics
Kim11131309,Thu Jun 03 07:40:57 +0000 2021,[],RT @MailOnline: Australian teachers are told to STOP calling children 'boys and girls' https://t.co/YUt888Mrrs,0,politics
NewVegasCap,Thu Jun 03 07:40:57 +0000 2021,[],"RT @SenWhitehouse: Best case: shrunk infrastructure bill w no serious climate stuff; Rs get bipartisan cred. 

Worst case: delay for nothin…",0,climate
epc_eu,Thu Jun 03 07:40:56 +0000 2021,"['ZeroPollution', 'Climate']","RT @ClimateCanary: 🟢 @epc_eu &amp; @Apple event on the role of innovation and partnerships in achieving #ZeroPollution, #Climate Neutrality and…",0,climate
Dust_InTheAir,Thu Jun 03 07:40:56 +0000 2021,[],Just thinking that my 20s are being completely wasted because of the pandemic/climate change/general world shittiness so God should've just bumped me up to my 30s.,1,climate
Uhunyeparody,Thu Jun 03 07:40:54 +0000 2021,['ImpossibleIsNothing'],"The water storage technology introduced in Kenya years ago was initially restricted to arid and semi-arid areas where rain was little.

But not anymore as farmers across the east African embrace the mini-dams to store rainwater, thanks to climate change

#ImpossibleIsNothing https://t.co/kDcL1snpWS",0,climate
iembot_shv,Thu Jun 03 07:40:54 +0000 2021,[],LUFKIN Jun 2 Climate: High: 87 Low: 66 Precip: 0.0 Snow: 0.0 https://t.co/yUKLQAwCjJ https://t.co/5ec4HxcuNA,0,climate
iembot_shv,Thu Jun 03 07:40:54 +0000 2021,[],EL DORADO Jun 2 Climate: High: 79 Low: 62 Precip: 0.0 Snow: 0.0 https://t.co/8jeoLuEoxL https://t.co/00E5voUMaS,0,climate
iembot_shv,Thu Jun 03 07:40:54 +0000 2021,[],DE QUEEN Jun 2 Climate: High: 75 Low: 61 Precip: 0.0 Snow: 0.0 https://t.co/ob4TIEDf3C https://t.co/uNDZvuogYN,0,climate
MJChartData,Thu Jun 03 07:40:54 +0000 2021,[],"RT @theMJLLP: On June 25, we are honouring Michael Jackson by planting a tree. This not only conveys his message to save the planet but als…",0,politics
iembot_shv,Thu Jun 03 07:40:54 +0000 2021,[],SHREVEPORT Jun 2 Climate: High: 82 Low: 64 Precip: 0.0 Snow: 0.0 https://t.co/D5KfmdhLQZ https://t.co/kKV5wDCDPr,0,climate
iembot_shv,Thu Jun 03 07:40:54 +0000 2021,[],MONROE Jun 2 Climate: High: 85 Low: 69 Precip: 0.0 Snow: 0.0 https://t.co/7fFFBRj0Cp https://t.co/cuyYsmHmUx,0,climate
iembot_shv,Thu Jun 03 07:40:53 +0000 2021,[],LONGVIEW Jun 2 Climate: High: 80 Low: 61 Precip: 0.0 Snow: 0.0 https://t.co/8t4svGIn0U https://t.co/qz7VFkDBxn,0,climate
moneycontrolcom,Thu Jun 03 07:40:51 +0000 2021,"['RelianceIndustries', 'ClimateChange', 'RIL', 'MukeshAmbani']","#RelianceIndustries sees big opportunity in global consensus against #ClimateChange.🌍 It has articulated its ESG strategy to achieve net-zero carbon status by 2035 in its annual report, reports @PoddarNisha 👇

Read more at: https://t.co/PA5Jx40VP2 

 #RIL #MukeshAmbani https://t.co/nvlxQmQzxf",3,tech
iembot_shv,Thu Jun 03 07:40:50 +0000 2021,[],TYLER Jun 2 Climate: High: 81 Low: 62 Precip: 0.0 Snow: 0.0 https://t.co/KcuZjHktZF https://t.co/cas1fG2urg,0,climate
iembot_shv,Thu Jun 03 07:40:50 +0000 2021,[],TEXARKANA Jun 2 Climate: High: 80 Low: 65 Precip: 0.0 Snow: 0.0 https://t.co/BSf8BrusiR https://t.co/xwuiOSNNXD,0,climate
UKOECD,Thu Jun 03 07:40:50 +0000 2021,"['G7', 'BuildBackBetter']","RT @G7: The #G7 Summit is next week
 📅11–13 June 2021
📍 Cornwall

World leaders will gather to discuss how we #BuildBackBetter together to:…",0,politics
TristramWyatt,Thu Jun 03 07:40:47 +0000 2021,[],"RT @CatePoet: If you can make it, join Sat 5th June 1:30 pm @ Terry Spinks Place, E16 1GU (Nr Canning Town) 📣
How can those elected officia…",0,politics
swimsure,Thu Jun 03 07:40:47 +0000 2021,[],"RT @SadhbhO: Interesting - this article is filed under 'agribusiness and food' - not environment. A few thoughts (thread). 
1. Where in the…",0,politics
hoodInterpreter,Thu Jun 03 07:40:44 +0000 2021,[],"RT @BLeeForCongress: Mr. President — The Pentagon does not need an additional $13 billion in funding, on top of the $740 billion already al…",0,politics
ChrisAldus,Thu Jun 03 07:40:39 +0000 2021,[],RT @mattletiss7: If you think the Covid propaganda has been bad wait til you see the climate change stuff they’ve got planned,0,climate
citizenyao,Thu Jun 03 07:40:39 +0000 2021,[],RT @Bawumia4Prez: H.E. Edward Akwasi Boateng is a Ghanaian politician and astute business executive who has for over three decades contribu…,0,health
LydiardSimon,Thu Jun 03 07:40:37 +0000 2021,[],"RT @lambeth_council: 📰NEWS📰

Tonight @clairekholland has been elected as Leader of Lambeth Council. 

In her first remarks as leader, Cllr…",0,politics
DaktarZApp,Thu Jun 03 07:40:37 +0000 2021,"['pollution', 'health', 'climate', 'WorldBicycleDay', 'environment']","Be it #pollution, #health, #climate change or clean transportation, we all can agree that cycling is one of the most efficient solutions to all these problems. On #WorldBicycleDay let's motivate each other to shift to pedal instead of using vehicles that pollute the #environment. https://t.co/tCL56mBXqL",1,climate
redmayne_robert,Thu Jun 03 07:40:36 +0000 2021,[],RT @endelstamberg: @stratkotter @damenmaureen15 @OwlBlk @redmayne_robert @NuvoEnergy We stand in solidarity with the people of Bargny and d…,0,business
LawnsideSutton,Thu Jun 03 07:40:33 +0000 2021,"['ClimateAction', 'ClimateChange']","RT @DrTedros: Thanks for coming to @WHO today, @DoctorsXr, &amp; for your passion for #ClimateAction.
The risks posed by #ClimateChange could d…",0,culture
LafargeHolcim,Thu Jun 03 07:40:31 +0000 2021,[],"""Now is the time to act"" We have a once-in-a-generation opportunity to accelerate sustainable construction by putting climate action at the heart of the world’s recovery. A green recovery means focussing on renovation and modernising infrastructure to build a sustainable future.",1,climate
stockfigures24,Thu Jun 03 07:40:27 +0000 2021,[],"economics: 🇪🇺 ECB could tilt asset purchases on climate risks, Weidmann says
🇬🇧 UK set to stay cautious on foreign travel amid Covid surge
🌍 Global negotiators tussle on revenue threshold in tax talks
Here's a rundown of your top economic news today https://t.co/YzW3Xf7EdL",0,business
TheStockhigh,Thu Jun 03 07:40:26 +0000 2021,[],"RT @BLeeForCongress: Mr. President — The Pentagon does not need an additional $13 billion in funding, on top of the $740 billion already al…",0,politics
comments_007,Thu Jun 03 07:40:25 +0000 2021,[],"RT @PaulEDawson: “We’re not seeing ‘fire season’ any more,”

“It’s just one big fire year, where we can be prepared for and expect a large…",0,politics
monadwill,Thu Jun 03 07:40:25 +0000 2021,[],@Small_Gov The sun has more to do with our climate than humans do. I think the climate change agenda is all about ushering a technocratic state. Author Patrick Wood has written a few awesome books laying all of this out.,0,climate
DGTresor,Thu Jun 03 07:40:22 +0000 2021,"['climate', 'biodiversity']","RT @Charlotte_Grds: The 🇨🇵 decree revisiting ESG transparency for financial market participants, esp. on #climate &amp; #biodiversity, has been…",0,climate
endelstamberg,Thu Jun 03 07:40:21 +0000 2021,[],"@stratkotter @damenmaureen15 @OwlBlk @redmayne_robert @NuvoEnergy We stand in solidarity with the people of Bargny and demand climate and social justice! My infinite support, solidarity and sympathy to you, Roman! Keep on fighting for the people of Bargny! ❤️🌍🌏🌎🌳🌱🌿💮🏵️🌺🌻🌞🦋 https://t.co/AaN5MEeKaf",1,climate
Politics_SMHAGE,Thu Jun 03 07:40:20 +0000 2021,['auspol'],Britain’s top diplomat to Australia urges more climate ambition as Morrison vows to do it our way #auspol https://t.co/ZikiDiwTZP,0,climate
AnimalCommando,Thu Jun 03 07:40:19 +0000 2021,[],@AnimalsHolbox Liberia: Pres. Weah Commits His Government to Ensuring Climate Sensitive Initiat  https://t.co/eogvxZV9es,0,climate
brianvmullaney,Thu Jun 03 07:40:18 +0000 2021,[],"Like the 1980s debt crisis, the Covid fallout may lead to a decade of lost growth.  Fortunately, Latam is better prepared for climate change than most regions.
https://t.co/eNRdszB2Sb

https://t.co/PpgR4H259d https://t.co/JViXVz7Cfb",0,climate
imad403,Thu Jun 03 07:40:17 +0000 2021,[],"RT @SenSchumer: We need investments to make our energy infrastructure more resilient, cleaner, and safeguard the country from devastating i…",0,tech
TimeToLogOff,Thu Jun 03 07:40:11 +0000 2021,"['G7Summit', 'COP26']","RT @sascampaigns: Only 1 week to go until the #G7Summit and 5 months until #COP26. 

Two of the most monumental climate summits of the deca…",0,climate
SE25A,Thu Jun 03 07:40:11 +0000 2021,[],"RT @nytimes: President Biden wants to end oil drilling leases in Alaska's Arctic National Wildlife Refuge, but a Trump-era law passed in 20…",0,politics
RichardGrenell,Wed Jun 02 14:51:53 +0000 2021,[],"Fauci lied.
Businesses died.",17008,business
ScottPresler,Wed Jun 02 20:20:06 +0000 2021,[],"Fauci lied &amp; businesses and Americans died. 

He should be immediately fired &amp; we must have a full Congressional investigation into the origins of COVID-19.",14793,business
VP,Tue Jun 01 16:27:53 +0000 2021,[],"The Greenwood neighborhood of Tulsa—Black Wall Street—was a thriving business district. 100 years ago, a white supremacist mob killed hundreds of Black residents. Black homes, businesses, and churches were burned down. https://t.co/CgfGtll7qM",23236,business
Nolzyoumadeit,Thu Jun 03 07:42:32 +0000 2021,[],"RT @DjNewAfrica: In terms of opening new businesses, Zodwa Wabantu is more prolific than DJ Zinhle but people are saying Zinhle is more foc…",0,business
JohnMcConnachi6,Thu Jun 03 07:42:29 +0000 2021,[],RT @AgentP22: Where's the missing £2.7 billion UK covid funding meant for businesses which seems to have disappeared down an SNP black hole…,0,business
stan51villa,Thu Jun 03 07:42:28 +0000 2021,[],RT @KEdge23: I support cutting the foreign aid budget from 0.7% to 0.5%. At a time when we have had to borrow hundreds of billions to keep…,0,business
BrianHo37827014,Thu Jun 03 07:42:27 +0000 2021,[],"RT @ScottPresler: Fauci lied &amp; businesses and Americans died. 

He should be immediately fired &amp; we must have a full Congressional investig…",0,business
gospel_chidera,Thu Jun 03 07:42:26 +0000 2021,[],"RT @StephenMoore: 9 out of every 10 businesses say a lack of workers is hurting the economy.

90% of state &amp; local chambers of commerce say…",0,business
zeninsDNI,Thu Jun 03 07:42:25 +0000 2021,[],RT @chairmoss1: hi! heres a thread of native/indigenous owned businesses!,0,business
tconnellyRTE,Thu Jun 03 07:42:25 +0000 2021,[],RT @JP_Biz: A v slight softening of the cough in the Frost/SoSNI Protocol piece: ‘Businesses are still navigating the new trading environme…,0,business
JSolehri,Thu Jun 03 07:42:22 +0000 2021,[],"RT @Alam00Jan: The first phase of the Gwadar Port Free Zone, which covers 60 acres of land, was finished earlier this year, with 47 busines…",0,politics
murugen61,Thu Jun 03 07:42:21 +0000 2021,[],"RT @ScottPresler: Fauci lied &amp; businesses and Americans died. 

He should be immediately fired &amp; we must have a full Congressional investig…",0,business
funymnjamo,Thu Jun 03 07:42:20 +0000 2021,[],"RT @RealAnnieBlack: I will never forgive the career politicians whose lockdowns caused small businesses to PERMANENTLY close.

Who's with m…",0,business
eigensinn83,Thu Jun 03 07:42:19 +0000 2021,[],"RT @euromove: Nasty gesture politics, plain and simple.

“The Treasury in particular is thought to have reservations about whether the symb…",0,politics
SaimonK13,Thu Jun 03 07:42:19 +0000 2021,"['MAGA', 'GOP']","RT @EricHaftelLive: Everything Trump touches is doomed:

#MAGA #GOP 
His tax returns
His healthcare
His Covid plan
His peace deals
His busi…",0,health
ExeterCnctn,Thu Jun 03 07:42:17 +0000 2021,"['advertising', 'free', 'DottyDirectory', 'business']",Offering UK payroll calculations to a range of UK businesses - Payroll Bureau Services Limited - Luton @PBServicesUK is #advertising #free on #DottyDirectory. Click on the link to see more and get free advertising and promotion for your #business  … https://t.co/SSPNTzGmIl,0,business
WokinghamConnec,Thu Jun 03 07:42:16 +0000 2021,"['advertising', 'free', 'DottyDirectory', 'business']",Offering UK payroll calculations to a range of UK businesses - Payroll Bureau Services Limited - Luton @PBServicesUK is #advertising #free on #DottyDirectory. Click on the link to see more and get free advertising and promotion for your #business  https://t.co/yaLWQWvG4D,0,business
7NewsAustralia,Thu Jun 03 07:42:15 +0000 2021,[],"RT @SharnelleVella: The Business Victoria website has received 10,000 hits a minute after the grants went live around 4:30pm
The program wi…",0,business
_Home__Business,Thu Jun 03 07:42:14 +0000 2021,"['HomeBusiness', 'SmallBiz', 'Marketing', 'Startup', 'BusinessGrowth', 'SmallBusiness', 'GrowthHacking', 'Entrepreneur']",5 Ways Businesses Can Get Traffic and Generate Leads https://t.co/CzrXhXJ3Ye #HomeBusiness #SmallBiz #Marketing #Startup #BusinessGrowth #SmallBusiness #GrowthHacking #Entrepreneur,0,business
PunterPlanet,Thu Jun 03 07:42:14 +0000 2021,[],RT @PunterPlanet: Visit @Angels_Samantha's Profile on PP. Meet Samantha X After Dark Angels on Earth! https://t.co/uDnjmFtfso https://t.co/…,0,culture
JSolehri,Thu Jun 03 07:42:13 +0000 2021,[],"RT @Alam00Jan: The first phase of the Gwadar Port Free Zone, which covers 60 acres of land, was finished earlier this year, with 47 busines…",0,politics
AgentP22,Thu Jun 03 07:42:12 +0000 2021,[],Where's the missing £2.7 billion UK covid funding meant for businesses which seems to have disappeared down an SNP black hole? https://t.co/mw0MKnfwN8,2,business
toncricketcoach,Thu Jun 03 07:42:08 +0000 2021,[],RT @Nigel1934: @BylineTV Tom was fine with other people losing their businesses.,0,business
ann902,Thu Jun 03 07:42:07 +0000 2021,[],"RT @redsteeze: I've always been mask compliant. Put it on, wear it, don't be a dick to businesses. Just do it. Who cares. 

Fauci needs to…",0,business
stevesball,Thu Jun 03 07:42:06 +0000 2021,[],RT @KEdge23: I support cutting the foreign aid budget from 0.7% to 0.5%. At a time when we have had to borrow hundreds of billions to keep…,0,business
Sir_Pathfinder_,Thu Jun 03 07:42:04 +0000 2021,[],"RT @BBCAfrica: Kamuyat worked on Kampala road, delivering food to businesses in the neighbourhood. 
Just before 2pm, she went to take lunch…",0,business
oregakitaworld,Thu Jun 03 07:42:01 +0000 2021,[],"RT @SharnelleVella: The Business Victoria website has received 10,000 hits a minute after the grants went live around 4:30pm
The program wi…",0,business
Prajwal27565628,Thu Jun 03 07:42:01 +0000 2021,[],"RT @ANI: We reiterate that we've already responded to GoI &amp; assured them that users' privacy remains our priority. As a reminder, recent up…",0,culture
DallasGoldswain,Thu Jun 03 07:42:00 +0000 2021,[],"7 Ways Small Businesses Can Take Advantage of Recent Advances in EdTech

https://t.co/Qdvq30e9hK via @bookafyonline",0,business
