user,date,hashtags,full_text,favorite_count,label,char_count,word_count,word_density,punctuation_count,title_word_count,upper_case_word_count,noun_count,verb_count,adj_count,adv_count,pron_count
Tracytms,Tue May 25 14:07:27 +0000 2021,[],"RT @Mikeggibbs: Please stop talking down one dose.

One dose virtually eliminates severe illness, hospitalization, and death. And proving t…",0,politics,140,20,6.666666666666667,6,4,1,10,4,1,1,0
cassyrose639,Tue May 25 14:07:26 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
FitzTrubey,Tue May 25 14:07:26 +0000 2021,[],"RT @NewsSue: ""Government officials are moving to make a pandemic experiment permanent by allowing more employees than ever to work from hom…",0,politics,140,22,6.086956521739131,3,1,1,9,5,2,1,0
schnoddelbotz,Tue May 25 14:07:26 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
WillSavino,Tue May 25 14:07:26 +0000 2021,[],"Heretical game opinion: the only bad things about Bioshock: Infinite are the gameplay and politics. Yeah, the shooting is bland, and the whole ""ludonarrative dissonance"" thing is real a problem, but I think modern critical opinion has swung too far in a reactionary direction. 1/7",0,politics,280,45,6.086956521739131,10,5,1,13,7,8,3,1
GrammaNumnums,Tue May 25 14:07:25 +0000 2021,[],"RT @fuctmind: Lol

Biden, Putin to meet in person June 16 in Geneva

https://t.co/3z0C4zQaWK",0,politics,92,14,6.133333333333334,8,5,1,11,1,0,0,0
hafizrein,Tue May 25 14:07:25 +0000 2021,[],@zairdzn Might be the latter sebenarnya. They dont even know pun how politics work. Just blindly supporting an idiot,0,politics,116,19,5.8,3,3,0,6,5,2,4,1
songbird145A,Tue May 25 14:07:25 +0000 2021,[],"RT @RWPUSA: This is a very bad move.  The public has a right to see the DOJ memo. Presidents should not guard their predecessors' secrets,…",0,politics,139,25,5.346153846153846,6,3,3,12,4,1,2,1
DFeazelle,Tue May 25 14:07:25 +0000 2021,"['Satire', 'Humor', 'Politics', 'FakeNews', 'Mandalorian']",Democrats and Republicans Fight Over Who Gets the Mandalorian Child as Their Party’s Mascot. - via @pensignal  https://t.co/x6Swx0XNQV #Satire #Humor #Politics #FakeNews #Mandalorian,0,politics,182,23,7.583333333333333,13,14,0,16,1,5,0,0
annemarierozen,Tue May 25 14:07:24 +0000 2021,[],"RT @mazemoore: One of the most pathetic moments in American politics. 

Strange times we are living in. https://t.co/aythz7L7f9",0,politics,127,18,6.684210526315789,9,3,1,8,2,3,1,1
DODUMCHlT,Tue May 25 14:07:24 +0000 2021,[],"RT @chimeracoder: After a year of calls to defund the police, Biden just signed a bill massively *expanding* funding for police, under the…",0,politics,139,23,5.791666666666667,6,2,1,11,2,1,2,0
hx4lifeonpc,Tue May 25 14:07:24 +0000 2021,[],@antdude92 drugs and politics,0,politics,29,4,5.8,1,0,0,3,0,1,0,0
ExBulletinUk,Tue May 25 14:07:24 +0000 2021,[],Priyanka- The New Indian Express https://t.co/mdX6qHxcFg,0,politics,56,6,8.0,6,5,0,6,0,0,0,0
LMFinney,Tue May 25 14:07:24 +0000 2021,[],"@GovParsonMO Are you also excited when huge companies consider leaving due to your refusal to abide by the voters and the state constitution?

https://t.co/JLIuuK1XUw",0,politics,166,24,6.64,7,1,0,10,4,2,2,2
politics_mv,Tue May 25 14:07:24 +0000 2021,[],"RT @MuhammadSmiry: This is Dima from Hebron, she was attacked by Israeli forces during night raids. Dima was inside her house.
#FreePalesti…",0,politics,140,22,6.086956521739131,6,5,1,12,4,0,0,2
The__Thing_,Tue May 25 14:07:23 +0000 2021,[],also i need to have a talk with some of you about respectability politics because thats what this argument is,0,politics,109,20,5.190476190476191,0,0,0,5,3,0,2,2
phunphunphun,Tue May 25 14:07:22 +0000 2021,[],"RT @EmmaLGraney: Big development from @stevenchase and @RobertFife. The AB gvt has ordered U of A, U of C, U of Lethbridge and Athabasca Un…",0,politics,140,25,5.384615384615385,7,10,7,16,2,3,0,0
peta53,Tue May 25 14:07:22 +0000 2021,[],RT @MaryRiddell: Local Covid lockdowns are being imposed by stealth. Boris Johnson is  driven not by sense or science but by his own self-i…,0,politics,140,24,5.6,4,4,1,11,5,2,1,1
ermaheshmvr,Tue May 25 14:07:22 +0000 2021,[],"RT @amarprasadreddy: PM @narendramodi Ji is the longest serving non-congress PM of India. 

Won the citizens vote of trust twice putting an…",0,politics,140,22,6.086956521739131,5,3,3,12,3,3,1,0
orum_holly,Tue May 25 14:07:21 +0000 2021,[],"RT @CNN: ""Why won't Republican leaders take any sort of actionable stand against Rep. Greene? Because to do so would run the risk of puttin…",0,politics,140,25,5.384615384615385,6,5,2,10,3,2,3,0
momonyc19,Tue May 25 14:07:21 +0000 2021,[],"RT @AndrewCMcCarthy: No, the Jan 6 riot was not on a par with 9/11 and other mass-murder attacks driven by motive to levy war against the U…",0,politics,140,27,5.0,5,3,2,11,3,1,1,0
Urireo561,Tue May 25 14:07:21 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
ClearwaterBK,Tue May 25 14:07:20 +0000 2021,[],"RT @BreitbartNews: Republican-led states have proven to bring jobs back faster than Democrat-led states as Americans get back to work, acco…",0,politics,140,21,6.363636363636363,5,1,1,8,5,2,3,0
IranRevolut2018,Tue May 25 14:07:20 +0000 2021,[],"@Cling2Reality @AriFleischer You live everyday with far left crazy liberals who burn cities and defund their police and use identity politics to divide this country. 
Can’t take a simple (even inappropriate!) comparison?",0,politics,220,32,6.666666666666667,7,2,0,13,7,4,2,3
JohnNicklay2,Tue May 25 14:07:20 +0000 2021,[],RT @newsmax: MIKE POMPEO: The Chinese Communist Party knows what happened here and where it began https://t.co/sNzPjB5EIO https://t.co/9AH3…,0,politics,140,18,7.368421052631579,13,4,3,10,3,2,2,2
Loriagne2,Tue May 25 14:07:19 +0000 2021,[],"Northern Ireland tensions are inevitable consequence of Brexit, EU chief suggests https://t.co/5x40wPM8Mk",0,politics,105,12,8.076923076923077,6,3,1,9,2,1,0,0
law_cary,Tue May 25 14:07:19 +0000 2021,[],"RT @bueti: A next step in the incremental authoritarian transformation of Hong Kong: Beijing to expand Hong Kong office, adding security an…",0,politics,140,22,6.086956521739131,4,6,2,13,2,3,0,0
y157u2019,Tue May 25 14:07:19 +0000 2021,[],"RT @AliFabbas26: Today 
25th of may 
all the Iraqi people will peacefully demonstrate against the corrupted political system of Iraq demand…",0,politics,140,21,6.363636363636363,2,3,1,9,2,2,1,0
g_gosden,Tue May 25 14:07:19 +0000 2021,[],"RT @Keir_Starmer: We're the only country in the G7 not supporting it.

https://t.co/7jmP9UztiL",0,politics,94,13,6.714285714285714,10,2,2,7,2,1,1,2
Zahoor6033,Tue May 25 14:07:19 +0000 2021,[],@KhSaad_Rafique Good. Stop politics start poetry.,0,politics,49,6,7.0,4,2,0,5,1,1,0,0
derekahunter,Tue May 25 14:07:19 +0000 2021,[],"RT @heatherhunterdc: On Tuesday, a year after George Floyd died, his family members will fly to Washington, D.C., for a private audience wi…",0,politics,140,23,5.833333333333333,8,6,2,13,2,1,0,1
Kitkat64582131,Tue May 25 14:07:18 +0000 2021,[],"RT @JohnJHarwood: in 2012, when most pundits saw just ""dysfunction"" or ""gridlock,"" political scientists Tom Mann and Norm Ornstein offered…",0,politics,139,20,6.619047619047619,8,4,1,12,1,2,2,0
PamelaFalk,Tue May 25 14:07:18 +0000 2021,[],Timeline: How the Wuhan lab-leak theory suddenly became credible  https://t.co/C1UYaOIKwu,0,politics,89,10,8.090909090909092,7,3,0,5,1,2,2,0
detroit_rachel,Tue May 25 14:07:18 +0000 2021,[],"RT @thenation: Ranked choice voting is the fairer, more representative, future of American elections, and we’re excited to welcome it to Ne…",0,politics,140,22,6.086956521739131,5,3,1,8,5,3,2,2
Platocrates4,Tue May 25 14:07:18 +0000 2021,[],@pub_politics Only Marcus. https://t.co/ctnRH7KXwb,0,politics,50,4,10.0,8,2,0,5,0,0,1,0
francesbutton2,Tue May 25 14:07:18 +0000 2021,[],"RT @Loriagne2: Boris Johnson burqa comments ‘insensitive to Muslims’, report finds – follow live https://t.co/HsnBHRgVFL",0,politics,120,15,7.5,8,4,1,13,2,3,0,0
letty4121,Tue May 25 14:07:17 +0000 2021,[],RT @priesterspr: Demonizing the unvaccinated with not science is negligence. But saying that healthy unvaccinated people cannot remove thei…,0,politics,140,19,7.0,3,2,1,6,4,3,3,0
askarikhan386,Tue May 25 14:07:17 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
Bruyof,Tue May 25 14:07:17 +0000 2021,[],"RT @jeffzeleny: It's official: President Joe Biden and Russian President Vladimir Putin to meet in Geneva, Switzerland on June 16 for their…",0,politics,140,22,6.086956521739131,5,10,1,14,2,1,0,1
skbabar728,Tue May 25 14:07:16 +0000 2021,[],West Bengal governor is play politics behalf bjp and also Modi?,0,politics,63,11,5.25,1,3,0,7,1,1,1,0
joyjitguha,Tue May 25 14:07:16 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
ed_rodriguez4,Tue May 25 14:07:15 +0000 2021,[],"@jimmykimmel @NAACP @GFMFoundation @BlackVisionsMN you are a classic communist hypocrite. The day that black lives really matters and we start facing both sides of the problem and not only the one that can be used for votes, politics and money things will get better.",0,politics,267,44,5.933333333333334,7,1,1,19,6,4,3,2
bribrireads,Tue May 25 14:07:15 +0000 2021,[],"RT @DaShaunLH: very excited to be able to reveal the cover of my book, Belly of the Beast: The Politics of Anti-Fatness as Anti-Blackness!…",0,politics,139,24,5.56,7,6,1,11,3,1,1,1
tolong_fikir,Tue May 25 14:07:15 +0000 2021,[],@amofficialmy @nizambakeri Yea..the sad reality of Malaysian politics..,0,politics,71,8,7.888888888888889,6,1,0,5,1,3,0,0
vw8,Tue May 25 14:07:15 +0000 2021,[],"RT @PoliticsReid: The Connecticut House has approved a bill to vastly expand absentee voting. Northeastern states, no matter how blue, have…",0,politics,140,21,6.363636363636363,5,4,1,11,3,2,2,0
19snoopy55,Tue May 25 14:07:14 +0000 2021,[],"@HUL0NG @POTUS And keep politics out of this. It is what 'trump' didn't do and what Biden did do, not what Reps and Dems did or didn't do.

Right now, he delivered a vaccine that is raising this country back onto it's feet and stopping the deaths of it's people.

All trump did was golf &amp; goof.",0,politics,298,57,5.137931034482759,16,7,2,17,17,1,6,7
robbie_byrnes,Tue May 25 14:07:14 +0000 2021,[],"@brexshitshmexit @Record_Politics @Daily_Record Child poverty has increased, life expectancy has fallen, education standards have fallen, health targets set in law have never been achieved , drugs deaths have increased, fewer Scottish kids go to university as fee Englush are more welcome, all devolved matters. Yeh  just think!",0,politics,328,47,6.833333333333333,13,6,0,22,16,4,3,0
TAdameFrdz,Tue May 25 14:07:13 +0000 2021,[],"RT @washingtonpost: Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders https://t.co/XsHh8ndy…",0,politics,140,19,7.0,11,3,1,10,3,2,0,0
apurvaparikh18,Tue May 25 14:07:13 +0000 2021,[],"@INCIndia A villain goes to see a movie &amp; in a rape scene if hero saves actress,  even villain in audience will clap 👏. 
Are heartless congress members spending time with Modiji off screen to know the fact?
When you are doing politics on deadbodies,  politics on PMs tears is expected.",0,politics,289,51,5.5576923076923075,8,4,1,23,11,2,3,1
RETJ55,Tue May 25 14:07:13 +0000 2021,[],"Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders
By Matt Viser

https://t.co/u9PXBAGfQ4",0,politics,136,20,6.476190476190476,9,6,0,11,1,2,0,0
fieldpro,Tue May 25 14:07:12 +0000 2021,[],"RT @sunlorrie: Canada's deputy minister of National Defence says the military's operation to end sexual misconduct in its ranks ""lost its w…",0,politics,140,22,6.086956521739131,5,2,1,12,3,2,0,2
Dch55,Tue May 25 14:07:11 +0000 2021,[],The @NBA was a lot better when politics were not involved. https://t.co/ALycTBh5BD,0,politics,82,12,6.3076923076923075,7,1,1,6,3,0,3,0
KLowgren,Tue May 25 14:07:11 +0000 2021,[],RT @BryanLowry3: Hawley has released his resolution condemning Democratic lawmakers’ comments about Israel and tying them to anti-Semitic a…,0,politics,140,19,7.0,3,3,1,9,5,2,0,2
webb_carrie,Tue May 25 14:07:11 +0000 2021,[],"RT @FoxNews: Rand Paul receives death threat package with white powder and violent, profane wording https://t.co/hblDZYI4uQ",0,politics,123,16,7.235294117647059,8,2,1,13,2,1,0,0
Rufaro69783395,Tue May 25 14:07:11 +0000 2021,[],"RT @OtiliaVirimai: @zimlive Mugabe created this politics of patronage, completely ignoring the needs of citizens. Mnangagwa is perfecting i…",0,politics,140,19,7.0,5,2,1,10,4,2,1,0
Stephaniec7257,Tue May 25 14:07:11 +0000 2021,[],"RT @RepMattGaetz: ""@MTGreenee and Matt Gaetz told a crowd of Trump supporters in the Phoenix area that an ongoing audit of the 2020 electio…",0,politics,140,24,5.6,4,4,1,13,1,1,0,0
wt1809,Tue May 25 14:07:10 +0000 2021,[],RT @taf0650_f: Too late.  Businesses don’t want to invest in Scotland.  The SNP are bad for business.  Why would any business want to stay…,0,politics,139,24,5.56,6,5,2,10,6,2,2,0
Alpha_Level,Tue May 25 14:07:10 +0000 2021,[],RT @MeloniFulvio: A majority of Republicans are living in a fantasy world built around the Big Lie https://t.co/clgobKwuUC,0,politics,122,18,6.421052631578948,7,4,2,10,3,1,0,0
vogonpo,Tue May 25 14:07:09 +0000 2021,[],"RT @MirrorPolitics: UK's biggest PPE suppliers 'ignored' by Government while 'VIPs' got contracts, MPs told
https://t.co/zFDfLtpW2o https:/…",0,politics,140,17,7.777777777777778,15,1,2,12,3,3,0,0
HarshKu16403734,Tue May 25 14:07:09 +0000 2021,[],RT @Atharva66814065: @anubha1812 @ShelarAshish Students demand to remove politics from Education system,0,politics,103,12,7.923076923076923,4,3,1,10,2,1,0,0
BenWoodfinden,Tue May 25 14:07:09 +0000 2021,[],RT @BenWoodfinden: A future in which homeownership is largely reserved for people with access to the bank of mom and dad that leaves many y…,0,politics,140,25,5.384615384615385,2,1,2,11,3,1,1,0
DewDropInn222,Tue May 25 14:07:09 +0000 2021,[],RT @BryanLowry3: Hawley has released his resolution condemning Democratic lawmakers’ comments about Israel and tying them to anti-Semitic a…,0,politics,140,19,7.0,3,3,1,9,5,2,0,2
RohitVe97126151,Tue May 25 14:07:08 +0000 2021,[],RT @Atharva66814065: @anubha1812 @ShelarAshish Students demand to remove politics from Education system,0,politics,103,12,7.923076923076923,4,3,1,10,2,1,0,0
jwgoverningbody,Tue May 25 14:07:08 +0000 2021,[],"By failing to act, lawmakers are re-victimizing survivors, said Diana Vojtasek,

Clayton-Wright noted that the Senate GOP leader plans to meet with survivors this week.
For Cindy Leech, that vote can’t come soon enough.
“Don’t ask me to wait any longer,”
https://t.co/HkqJMjdSrc",0,politics,278,42,6.465116279069767,14,8,1,19,9,6,2,1
Derby4Europe,Tue May 25 14:07:08 +0000 2021,[],Government competence in question over covid guidance nobody was told about https://t.co/y496QflV2k,0,politics,99,12,7.615384615384615,5,1,0,7,2,1,0,0
pub_politics,Tue May 25 14:07:08 +0000 2021,[],@Willow__Bella Not sure where this narrative comes from 🤷🏼‍♂️,0,politics,61,9,6.1,3,2,0,3,1,1,3,0
F_3599,Tue May 25 14:07:07 +0000 2021,"['ووٹ_کو_عزت_دو', 'مسلم_لیگ_ن_پرموشن_ٹیم']","RT @pakpmln5: List No-42
#ووٹ_کو_عزت_دو
#مسلم_لیگ_ن_پرموشن_ٹیم
@pakpmln5
@789k_
@73_irf
@FDilx5
@73rani
@msfold
@imt437
@SeydMH
@pagli042
@…",0,politics,140,16,8.235294117647058,24,2,1,19,2,3,0,0
SheenaN47117175,Tue May 25 14:07:07 +0000 2021,[],"RT @lavern_spicer: Republicans need more like @mtgreenee and @mattgaetz.

These are two people who do not give a damn about politics or abo…",0,politics,140,23,5.833333333333333,6,2,1,10,4,3,1,1
TheRReport,Tue May 25 14:07:07 +0000 2021,[],"Biden, Putin to meet next month in Geneva, the first face-to-face session between the two leaders; the day-long summit is scheduled for 16 June  https://t.co/661jkvYWVz",0,politics,168,25,6.461538461538462,11,4,0,11,3,3,0,0
Schumii1808,Tue May 25 14:07:07 +0000 2021,[],RT @FoxNews: JUST IN: President Biden and Russian President Vladimir Putin are expected to meet in Geneva next month https://t.co/TZCAwn0YjC,0,politics,140,20,6.666666666666667,8,7,3,15,3,1,0,0
Visitkarte,Tue May 25 14:07:07 +0000 2021,[],RT @WHO13news: Democratic Iowa farmer running for Chuck Grassley’s Senate seat https://t.co/MXtmhtfm3h,0,politics,102,12,7.846153846153846,7,4,1,12,1,2,0,0
colo_politics,Tue May 25 14:07:06 +0000 2021,"['COpolitics', 'COleg']","Polly Baca has endorsed state Rep. Don Valdez against Lauren Boebert
#COpolitics #COleg 
https://t.co/3JmjDTEpN4",0,politics,112,14,7.466666666666667,8,7,0,12,2,0,0,0
KayodeFoloruns3,Tue May 25 14:07:06 +0000 2021,[],"RT @MakeMen_Great: One of the most important skills any man should master is playing politics. Politics exist everywhere. At work, conferen…",0,politics,140,21,6.363636363636363,6,3,1,9,4,1,2,0
_DipikaR,Tue May 25 14:07:06 +0000 2021,[],RT @jilevin: Prosecutor assigned to case of ex-cop charged in Daunte Wright's death resigns over 'vitriol' and 'partisan politics' https://…,0,politics,140,20,6.666666666666667,11,2,1,14,2,1,0,0
retweeterspace1,Tue May 25 14:07:06 +0000 2021,[],RT @juneandnoz: @BBCPolitics A young girl with no experience of life. In politics you need to hide of a rhino and a fairly wide experience…,0,politics,139,25,5.346153846153846,4,2,2,11,2,2,1,1
thejoshuablog,Tue May 25 14:07:06 +0000 2021,"['politics', 'trump', 'corruption']",Via @RawStory: US pledges support for Gaza truce but without 'benefit' for Hamas https://t.co/ZWlsj3a9G4 | #politics #trump #corruption,0,politics,135,18,7.105263157894737,13,3,1,15,0,1,0,0
Camila_Bidd,Tue May 25 14:07:06 +0000 2021,[],when you need to get the kids into politics https://t.co/ulf9Aqfb66,0,politics,67,10,6.090909090909091,5,0,0,4,2,0,1,1
KarenLisa1,Tue May 25 14:07:05 +0000 2021,[],"RT @NewStatesman: ""Nobody did more than the tabloids to kill Princess Diana.""

@mfletchertimes on the hypocrisy of the red-top BBC-bashing:…",0,politics,140,20,6.666666666666667,9,3,1,11,2,3,0,0
bettygrieves,Tue May 25 14:07:05 +0000 2021,[],RT @jeremycorbyn: I'm so proud of @NadiaWhittomeMP - a bold &amp; brave young woman in politics. By being honest about looking after her #Menta…,0,politics,144,24,5.76,9,2,1,9,4,4,1,2
John_Tedesco,Tue May 25 14:07:05 +0000 2021,['hounews'],"Last year, Texas health officials refused to release details about nursing homes with COVID-19 outbreaks, leaving concerned family members in the dark: https://t.co/b4sWMpJ9xq

There's now a state law that says that information is public: https://t.co/HKJSKWKy1Z #hounews",0,politics,271,36,7.324324324324325,17,2,1,18,7,4,1,0
tryinghard1234,Tue May 25 14:07:05 +0000 2021,[],"RT @CaptainNostrad1: Ex-WH counsel McGahn agrees to testify before House Judiciary Committee behind closed doors next week.
https://t.co/AY…",0,politics,140,18,7.368421052631579,9,3,1,12,2,2,0,0
sarahkendzior,Mon May 24 21:00:32 +0000 2021,[],"A failed coup is a dress rehearsal.

A political party that stages a coup and blocks investigation ultimately wants that coup to succeed.

A political party that did not stage a coup but does not assertively, quickly investigate and prosecute it *also* wants that coup to succeed.",22058,politics,280,47,5.833333333333333,6,3,3,12,11,3,5,1
JuddLegum,Mon May 24 12:34:03 +0000 2021,[],"1. After 1/6, hundreds of corps made commitments about future political giving

But each month a flood of campaign finance records are reported to the FEC

So I've created a list of companies that have violated the letter or spirit of their commitments

https://t.co/nZlDLLo5W2",3540,politics,277,44,6.155555555555556,9,3,1,17,8,2,0,2
4noura,Mon May 24 14:03:30 +0000 2021,[],Palestinians &amp; their allies have been preaching for 100+ yrs that Zionism is a political project &amp; Judaism is a religion. Zionists have worked at highest levels to equate them to excuse/sustain Israeli violence. Combat antisemitism by joining us in insisting upon this difference.,5558,politics,288,44,6.4,9,6,0,15,11,3,0,3
suepeac,Tue May 25 14:07:32 +0000 2021,[],"RT @BombshellDAILY: LARA TRUMP OPERATED SHELL COMPANY WHICH DISPERSED $700 MILLION TO CAMPAIGN
President Trump’s daughter-in-law served on…",0,politics,139,18,7.315789473684211,5,1,11,18,2,0,0,0
kadiridapo,Tue May 25 14:07:31 +0000 2021,[],"RT @AmeliaHorgan: when someone comes to a political issue for the first time, there’s often a tendency on the left to scold and say “where…",0,politics,139,25,5.346153846153846,3,0,1,10,4,3,2,0
PhilJenkins_,Tue May 25 14:07:30 +0000 2021,[],"@EdConwaySky Media group think based on political allegiance and the near death of quality mainstream investigative journalism. 

Same goes for lack of any holding to account on nonsense like the PCR tests - another thing left to “conspiracy theorists” to question.",0,politics,265,41,6.309523809523809,4,2,1,17,9,3,0,0
MAYANKU00398059,Tue May 25 14:07:29 +0000 2021,['Toolkit'],RT @rohanduaTOI: It seems #Toolkit controversy is going to be one hell of a fight in courts with neither political party going to relent no…,0,politics,140,25,5.384615384615385,3,2,1,10,6,1,0,1
AlexiapittR,Tue May 25 14:07:29 +0000 2021,[],RT @JolyonMaugham: This is undoubtedly true. Established suppliers were overlooked - and those with political connections were prioritised.…,0,politics,140,18,7.368421052631579,5,2,1,6,5,2,1,0
takdire_sayan,Tue May 25 14:07:29 +0000 2021,[],RT @VICE: A mob boss is causing political havoc in Turkey after he posted a series of YouTube videos outlining alleged ties between governm…,0,politics,140,24,5.6,2,2,3,11,5,1,0,1
weatherwax_e,Tue May 25 14:07:29 +0000 2021,[],"RT @rafaelshimunov: Imagine paying billions for something, arming it to the teeth, and using your entire political apparatus to block it fr…",0,politics,140,22,6.086956521739131,4,1,1,8,5,2,0,3
yogashar99,Tue May 25 14:07:29 +0000 2021,[],"RT @TimesNow: If Twitter India team had nothing to do with addition of the 'Manipulated Media' tag (to Sambit Patra's tweet), it means Twit…",0,politics,140,24,5.6,8,7,1,13,3,2,0,1
